 
log File 
 
User : hannuo 
2021/10/15 周五 
11:28
 
Process Ran by hannuo 
 

映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      2,772 K
Registry                       148 Services                   0    144,052 K
smss.exe                       620 Services                   0      1,292 K
csrss.exe                      864 Services                   0      5,756 K
wininit.exe                    996 Services                   0      7,360 K
csrss.exe                     1004 Console                    1      6,916 K
services.exe                   804 Services                   0     11,972 K
lsass.exe                      812 Services                   0     11,396 K
svchost.exe                   1096 Services                   0     15,352 K
fontdrvhost.exe               1124 Services                   0         12 K
svchost.exe                   1188 Services                   0     11,472 K
winlogon.exe                  1264 Console                    1      2,144 K
svchost.exe                   1272 Services                   0      4,200 K
fontdrvhost.exe               1340 Console                    1     12,864 K
svchost.exe                   1468 Services                   0      3,384 K
svchost.exe                   1512 Services                   0      1,552 K
svchost.exe                   1568 Services                   0      1,672 K
svchost.exe                   1572 Services                   0      2,376 K
svchost.exe                   1584 Services                   0      1,488 K
svchost.exe                   1652 Services                   0      2,032 K
svchost.exe                   1660 Services                   0      2,376 K
svchost.exe                   1784 Services                   0      1,232 K
svchost.exe                   1848 Services                   0      8,792 K
svchost.exe                   1920 Services                   0      6,100 K
svchost.exe                   1964 Services                   0     10,204 K
svchost.exe                   2000 Services                   0      5,436 K
svchost.exe                   2084 Services                   0        532 K
svchost.exe                   2092 Services                   0      4,724 K
svchost.exe                   2168 Services                   0      3,720 K
svchost.exe                   2272 Services                   0      2,664 K
svchost.exe                   2284 Services                   0      1,368 K
amdfendrsr.exe                2352 Services                   0      1,152 K
atiesrxx.exe                  2360 Services                   0        112 K
svchost.exe                   2436 Services                   0      1,464 K
svchost.exe                   2444 Services                   0      4,796 K
svchost.exe                   2540 Services                   0      4,840 K
svchost.exe                   2584 Services                   0      1,400 K
svchost.exe                   2824 Services                   0      1,056 K
svchost.exe                   2832 Services                   0         16 K
svchost.exe                   2912 Services                   0      2,100 K
svchost.exe                   2968 Services                   0      1,748 K
dasHost.exe                   2164 Services                   0      4,040 K
svchost.exe                   1412 Services                   0      4,944 K
svchost.exe                   2476 Services                   0        712 K
svchost.exe                   3080 Services                   0      3,668 K
atieclxx.exe                  3116 Console                    1      5,164 K
Memory Compression            3180 Services                   0    251,020 K
svchost.exe                   3220 Services                   0      4,388 K
svchost.exe                   3248 Services                   0      4,672 K
svchost.exe                   3256 Services                   0     13,716 K
svchost.exe                   3540 Services                   0      2,252 K
svchost.exe                   3716 Services                   0      2,160 K
svchost.exe                   3816 Services                   0      7,660 K
svchost.exe                   3872 Services                   0      9,252 K
Start10Srv.exe                3908 Services                   0         36 K
svchost.exe                   4020 Services                   0     12,136 K
Start10_64.exe                4084 Console                    1        584 K
svchost.exe                   3440 Services                   0      6,224 K
svchost.exe                   3432 Services                   0      2,300 K
svchost.exe                   3020 Services                   0      1,124 K
svchost.exe                   3464 Services                   0      3,140 K
svchost.exe                   3504 Services                   0      3,660 K
svchost.exe                   3836 Services                   0      2,136 K
svchost.exe                   4156 Services                   0      2,336 K
svchost.exe                   4188 Services                   0     27,140 K
svchost.exe                   4204 Services                   0      8,100 K
svchost.exe                   4292 Services                   0      3,716 K
spoolsv.exe                   4364 Services                   0        536 K
svchost.exe                   4524 Services                   0     16,860 K
svchost.exe                   4568 Services                   0      1,948 K
svchost.exe                   4712 Services                   0     18,448 K
svchost.exe                   4728 Services                   0      2,464 K
svchost.exe                   4736 Services                   0     10,584 K
svchost.exe                   4744 Services                   0      1,824 K
svchost.exe                   4760 Services                   0      1,812 K
inetinfo.exe                  4772 Services                   0      1,992 K
svchost.exe                   4780 Services                   0      7,096 K
svchost.exe                   4788 Services                   0      1,620 K
MemuService.exe               4796 Services                   0         44 K
svchost.exe                   4808 Services                   0         16 K
PnkBstrA.exe                  4816 Services                   0        260 K
phtunnel.exe                  4824 Services                   0      1,412 K
QQProtect.exe                 4832 Services                   0     14,252 K
svchost.exe                   4852 Services                   0         16 K
sqlwriter.exe                 4880 Services                   0      1,716 K
